step,action,reward,smoothed_reward,hp,level,llm_advice,llm_data,advice_given_at_step,steps_since_advice,llm_priority,llm_risk,llm_strategy,hp_change,reward_change,sr_change,level_up,hp_lag1,reward_lag1,sr_lag1,level_lag1,reward_ma5,hp_ma5,reward_std5,advice_category,action_category,critical_hp,low_hp,high_hp,llm_suggestions,advice_keywords,action_matches_any_suggestion,action_matches_semantic,matched_suggestion,advice_episode,alignment_window_matched,steps_until_match,episode_alignment_rate,episode_matched_in_window,followed_advice_strict,followed_advice_lenient,alignment_strength,followed_advice,episode_avg_reward,episode_reward_sum,episode_length
0,read,-0.01,0.0,66.7,14,,,,,,,,,,,0,,,,,-0.01,66.7,,none,item_use,0,1,0,[],set(),False,False,,1,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
0,drink,0.0,0.01,407.7,14,Search the area for items and clues,,3400.0,-3400.0,,,,341.0,0.01,0.01,0,66.7,-0.01,0.0,14.0,-0.005,237.2,0.007071067811865475,exploration,item_use,0,0,1,[],{'search'},False,False,,2,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
0,move_east,0.0,0.01,485.7,12,Search for food and water to avoid fainting again,,2755.0,-2755.0,,,,78.0,0.0,0.0,0,407.7,0.0,0.01,14.0,-0.0033333333333333335,320.0333333333333,0.005773502691896258,survival,movement,0,0,1,[],{'search'},False,True,search,3,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
0,move_south,0.0,0.01,1375.0,14,Eat something to restore health,,3770.0,-3770.0,,,,889.3,0.0,0.0,1,485.7,0.0,0.01,12.0,-0.0025,583.775,0.005,survival,movement,0,0,1,[],"{'eat', 'heal', 'rest'}",False,False,,4,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
0,move_southeast,0.0,0.01,162.5,14,Investigate the crude dagger and potential threats,,2320.0,-2320.0,,,,-1212.5,0.0,0.0,0,1375.0,0.0,0.01,14.0,-0.002,499.52,0.00447213595499958,survival,movement,0,0,1,[],{'eat'},False,False,,5,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
0,throw,0.0,0.01,820.0,16,Avoid kobold attacks and focus on survival,,285.0,-285.0,,,,657.5,0.0,0.0,1,162.5,0.0,0.01,14.0,0.0,650.1800000000001,0.0,combat,combat,0,0,1,[],{'attack'},False,True,attack,6,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
5,read,-0.01,-0.01,378.6,14,Search for items and potential threats,,5.0,0.0,,,,-441.4,-0.01,-0.02,0,820.0,0.0,0.01,16.0,-0.002,644.3599999999999,0.00447213595499958,survival,item_use,0,0,1,[],"{'eat', 'search'}",False,True,eat,7,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
5,take_off,-0.01,-0.01,425.0,12,Search for food and water to avoid fainting again,,2755.0,-2750.0,,,,46.39999999999998,0.0,0.0,0,378.6,-0.01,-0.01,14.0,-0.004,632.22,0.005477225575051661,survival,equipment,0,0,1,[],{'search'},False,False,,8,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
5,close_door,0.0,0.013,1100.0,16,Avoid kobold attacks and focus on survival,,285.0,-280.0,,,,675.0,0.01,0.023,1,425.0,-0.01,-0.01,12.0,-0.004,577.22,0.005477225575051661,combat,interaction,0,0,1,[],{'attack'},False,False,,9,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
5,move_south,-0.01,0.0,300.0,14,Investigate the crude dagger and potential threats,,2320.0,-2315.0,,,,-800.0,-0.01,-0.013,0,1100.0,0.0,0.013,16.0,-0.006,604.72,0.005477225575051661,survival,movement,0,0,1,[],{'eat'},False,False,,10,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
